@relation 'calculos-weka.filters.unsupervised.attribute.Remove-R5,7-weka.filters.unsupervised.attribute.Remove-R7-12-weka.filters.unsupervised.attribute.Remove-R7-11'

@attribute ID numeric
@attribute mediopago {CHEQUE,CARD,CASH}
@attribute sexo {F,M}
@attribute propietariovivienda {NO,YES}
@attribute RANGOSUELDO numeric
@attribute RANGOEDAD numeric
@attribute congelados_cerveza {F,T}

@data
52359,CHEQUE,F,NO,1,1,F
11966,CARD,M,NO,1,1,F
58768,CHEQUE,F,YES,1,1,F
51979,CARD,M,YES,1,1,T
99457,CARD,F,NO,1,1,F
103385,CASH,M,NO,1,1,T
40789,CASH,F,NO,1,1,F
62175,CASH,M,NO,1,1,T
27720,CARD,F,NO,1,1,F
56034,CASH,M,NO,1,1,T
69110,CASH,M,NO,1,1,T
52421,CARD,M,NO,1,1,T
101031,CARD,M,YES,1,1,T
89460,CASH,M,YES,1,1,T
28081,CARD,M,NO,1,1,F
89559,CHEQUE,F,NO,1,1,F
15099,CARD,M,NO,1,1,T
50961,CASH,F,YES,1,1,F
90911,CASH,F,NO,1,1,F
100754,CHEQUE,F,NO,1,1,F
47341,CARD,M,NO,2,1,F
67799,CARD,F,NO,2,1,F
36631,CASH,M,YES,2,1,F
16350,CARD,F,YES,2,1,F
93469,CHEQUE,M,NO,2,1,F
29224,CARD,F,NO,2,1,F
37523,CARD,F,NO,2,1,F
72902,CASH,F,YES,2,1,F
29483,CHEQUE,M,YES,2,1,F
16287,CASH,F,NO,2,1,F
17201,CARD,M,NO,2,1,F
32594,CARD,F,YES,2,1,F
31011,CARD,M,NO,2,1,T
38723,CHEQUE,F,NO,2,1,F
45102,CASH,M,NO,2,1,F
50324,CASH,M,YES,2,1,F
38063,CASH,F,NO,2,1,F
76264,CHEQUE,M,NO,2,1,F
18953,CARD,F,NO,1,1,F
99849,CASH,F,YES,1,1,F
31828,CARD,M,NO,1,1,F
18724,CASH,F,NO,1,1,F
42778,CASH,M,YES,1,1,T
30239,CARD,M,YES,1,1,F
94341,CARD,M,NO,1,1,T
79446,CASH,M,YES,1,1,F
82796,CARD,F,YES,1,1,F
85860,CASH,F,YES,1,1,F
72900,CARD,M,NO,1,1,F
39715,CASH,M,YES,2,1,F
86983,CARD,F,NO,2,1,F
89425,CHEQUE,M,NO,2,1,F
63979,CARD,M,YES,2,1,F
92209,CHEQUE,F,YES,2,1,F
92125,CARD,F,NO,2,1,F
31552,CARD,M,YES,2,1,F
54981,CASH,M,YES,2,1,F
21875,CASH,F,NO,2,1,F
14996,CASH,M,YES,2,1,F
